Date and Time,Date,Time,Activity,Duration
2018-03-26 19:29:00,2018-03-26,19:29:00,Sleep,151.0
2018-03-26 22:11:00,2018-03-26,22:11:00,Sleep,164.0
2018-03-27 01:16:00,2018-03-27,01:16:00,Sleep,116.0
2018-03-27 04:30:00,2018-03-27,04:30:00,Sleep,82.0
2018-03-27 08:37:00,2018-03-27,08:37:00,Sleep,30.0
2018-03-27 12:22:00,2018-03-27,12:22:00,Sleep,33.0
2018-03-27 15:20:00,2018-03-27,15:20:00,Sleep,30.0
2018-03-27 22:05:00,2018-03-27,22:05:00,Sleep,210.0
2018-03-28 01:50:00,2018-03-28,01:50:00,Sleep,25.0
2018-03-28 02:45:00,2018-03-28,02:45:00,Sleep,79.0
2018-03-28 04:18:00,2018-03-28,04:18:00,Sleep,172.0
2018-03-28 09:41:00,2018-03-28,09:41:00,Sleep,49.0
2018-03-28 13:24:00,2018-03-28,13:24:00,Sleep,44.0
2018-03-28 18:36:00,2018-03-28,18:36:00,Sleep,396.0
2018-03-29 02:03:00,2018-03-29,02:03:00,Sleep,253.0
2018-03-29 09:45:00,2018-03-29,09:45:00,Sleep,39.0
2018-03-29 12:45:00,2018-03-29,12:45:00,Sleep,30.0
2018-03-29 18:50:00,2018-03-29,18:50:00,Sleep,249.0
2018-03-29 23:36:00,2018-03-29,23:36:00,Sleep,226.0
2018-03-30 03:52:00,2018-03-30,03:52:00,Sleep,129.0
2018-03-30 09:14:00,2018-03-30,09:14:00,Sleep,46.0
2018-03-30 12:50:00,2018-03-30,12:50:00,Sleep,93.0
2018-03-30 18:10:00,2018-03-30,18:10:00,Sleep,35.0
2018-03-30 18:54:00,2018-03-30,18:54:00,Sleep,170.0
2018-03-30 22:08:00,2018-03-30,22:08:00,Sleep,127.0
2018-03-31 00:22:00,2018-03-31,00:22:00,Sleep,99.0
2018-03-31 02:36:00,2018-03-31,02:36:00,Sleep,50.0
2018-03-31 03:36:00,2018-03-31,03:36:00,Sleep,17.0
2018-03-31 04:17:00,2018-03-31,04:17:00,Sleep,118.0
2018-03-31 09:18:00,2018-03-31,09:18:00,Sleep,33.0
2018-03-31 12:56:00,2018-03-31,12:56:00,Sleep,28.0
2018-03-31 15:57:00,2018-03-31,15:57:00,Sleep,35.0
2018-03-31 18:30:00,2018-03-31,18:30:00,Sleep,424.0
2018-04-01 03:32:00,2018-04-01,03:32:00,Sleep,178.0
2018-04-01 11:53:00,2018-04-01,11:53:00,Sleep,221.0
2018-04-01 18:54:00,2018-04-01,18:54:00,Sleep,240.0
2018-04-01 23:10:00,2018-04-01,23:10:00,Sleep,208.0
2018-04-02 04:00:00,2018-04-02,04:00:00,Sleep,35.0
2018-04-02 05:13:00,2018-04-02,05:13:00,Sleep,113.0
2018-04-02 09:05:00,2018-04-02,09:05:00,Sleep,35.0
2018-04-02 13:05:00,2018-04-02,13:05:00,Sleep,40.0
2018-04-02 16:00:00,2018-04-02,16:00:00,Sleep,35.0
2018-04-02 19:24:00,2018-04-02,19:24:00,Sleep,214.0
2018-04-02 23:21:00,2018-04-02,23:21:00,Sleep,80.0
2018-04-03 01:00:00,2018-04-03,01:00:00,Sleep,111.0
2018-04-03 03:12:00,2018-04-03,03:12:00,Sleep,138.0
2018-04-03 11:24:00,2018-04-03,11:24:00,Sleep,21.0
2018-04-03 13:30:00,2018-04-03,13:30:00,Sleep,93.0
2018-04-03 19:21:00,2018-04-03,19:21:00,Sleep,148.0
2018-04-03 22:11:00,2018-04-03,22:11:00,Sleep,144.0
2018-04-04 01:19:00,2018-04-04,01:19:00,Sleep,168.0
2018-04-04 04:30:00,2018-04-04,04:30:00,Sleep,109.0
2018-04-04 09:30:00,2018-04-04,09:30:00,Sleep,30.0
2018-04-04 12:45:00,2018-04-04,12:45:00,Sleep,30.0
2018-04-04 15:48:00,2018-04-04,15:48:00,Sleep,49.0
2018-04-04 19:36:00,2018-04-04,19:36:00,Sleep,169.0
2018-04-04 22:48:00,2018-04-04,22:48:00,Sleep,303.0
2018-04-06 01:19:00,2018-04-06,01:19:00,Sleep,126.0
2018-04-06 03:34:00,2018-04-06,03:34:00,Sleep,60.0
2018-04-06 04:47:00,2018-04-06,04:47:00,Sleep,135.0
2018-04-06 15:11:00,2018-04-06,15:11:00,Sleep,102.0
2018-04-06 19:47:00,2018-04-06,19:47:00,Sleep,322.0
2018-04-07 01:31:00,2018-04-07,01:31:00,Sleep,114.0
2018-04-07 03:58:00,2018-04-07,03:58:00,Sleep,114.0
2018-04-07 10:20:00,2018-04-07,10:20:00,Sleep,20.0
2018-04-07 12:55:00,2018-04-07,12:55:00,Sleep,25.0
2018-04-07 17:02:00,2018-04-07,17:02:00,Sleep,28.0
2018-04-07 18:38:00,2018-04-07,18:38:00,Sleep,127.0
2018-04-07 20:56:00,2018-04-07,20:56:00,Sleep,169.0
2018-04-08 00:02:00,2018-04-08,00:02:00,Sleep,77.0
2018-04-08 01:32:00,2018-04-08,01:32:00,Sleep,201.0
2018-04-08 09:10:00,2018-04-08,09:10:00,Sleep,45.0
2018-04-08 15:27:00,2018-04-08,15:27:00,Sleep,113.0
2018-04-08 20:10:00,2018-04-08,20:10:00,Sleep,263.0
2018-04-09 00:45:00,2018-04-09,00:45:00,Sleep,55.0
2018-04-09 02:50:00,2018-04-09,02:50:00,Sleep,291.0
2018-04-09 13:04:00,2018-04-09,13:04:00,Sleep,96.0
2018-04-09 17:53:00,2018-04-09,17:53:00,Sleep,30.0
2018-04-09 20:01:00,2018-04-09,20:01:00,Sleep,318.0
2018-04-10 02:00:00,2018-04-10,02:00:00,Sleep,74.0
2018-04-10 03:42:00,2018-04-10,03:42:00,Sleep,31.0
2018-04-10 04:49:00,2018-04-10,04:49:00,Sleep,150.0
2018-04-10 10:22:00,2018-04-10,10:22:00,Sleep,11.0
2018-04-10 11:25:00,2018-04-10,11:25:00,Sleep,127.0
2018-04-10 15:58:00,2018-04-10,15:58:00,Sleep,30.0
2018-04-10 19:44:00,2018-04-10,19:44:00,Sleep,70.0
2018-04-10 21:02:00,2018-04-10,21:02:00,Sleep,79.0
2018-04-10 22:58:00,2018-04-10,22:58:00,Sleep,72.0
2018-04-11 00:27:00,2018-04-11,00:27:00,Sleep,133.0
2018-04-11 03:23:00,2018-04-11,03:23:00,Sleep,74.0
2018-04-11 05:10:00,2018-04-11,05:10:00,Sleep,110.0
2018-04-11 11:19:00,2018-04-11,11:19:00,Sleep,100.0
2018-04-11 15:58:00,2018-04-11,15:58:00,Sleep,45.0
2018-04-11 19:11:00,2018-04-11,19:11:00,Sleep,99.0
2018-04-11 21:09:00,2018-04-11,21:09:00,Sleep,139.0
2018-04-11 23:43:00,2018-04-11,23:43:00,Sleep,81.0
2018-04-12 01:23:00,2018-04-12,01:23:00,Sleep,154.0
2018-04-12 04:21:00,2018-04-12,04:21:00,Sleep,58.0
2018-04-12 07:45:00,2018-04-12,07:45:00,Sleep,14.0
2018-04-12 09:30:00,2018-04-12,09:30:00,Sleep,29.0
2018-04-12 11:30:00,2018-04-12,11:30:00,Sleep,40.0
2018-04-12 14:40:00,2018-04-12,14:40:00,Sleep,20.0
2018-04-12 18:00:00,2018-04-12,18:00:00,Sleep,19.0
2018-04-12 19:22:00,2018-04-12,19:22:00,Sleep,162.0
