Date and Time,Date,Time,Activity,Duration,Radial,Minutes
2015-05-12 03:29:00,2015-05-11,03:29:00,Sleep,120.0,116,209
2015-05-12 05:58:00,2015-05-11,05:58:00,Sleep,141.0,116,358
2015-05-12 13:08:00,2015-05-11,13:08:00,Sleep,45.0,116,788
2015-05-12 16:20:00,2015-05-11,16:20:00,Sleep,32.0,116,980
2015-05-12 19:01:00,2015-05-11,19:01:00,Sleep,247.0,116,1141
2015-05-12 23:48:00,2015-05-11,23:48:00,Sleep,243.0,116,1428
2015-05-13 04:55:00,2015-05-12,04:55:00,Sleep,97.0,117,295
2015-05-13 08:50:00,2015-05-12,08:50:00,Sleep,35.0,117,530
2015-05-13 12:18:00,2015-05-12,12:18:00,Sleep,54.0,117,738
2015-05-13 13:54:00,2015-05-12,13:54:00,Sleep,172.0,117,834
2015-05-13 19:21:00,2015-05-12,19:21:00,Sleep,121.0,117,1161
2015-05-13 22:00:00,2015-05-12,22:00:00,Sleep,235.0,117,1320
2015-05-14 02:23:00,2015-05-13,02:23:00,Sleep,117.0,118,143
2015-05-14 04:55:00,2015-05-13,04:55:00,Sleep,161.0,118,295
2015-05-14 09:48:00,2015-05-13,09:48:00,Sleep,36.0,118,588
2015-05-14 12:40:00,2015-05-13,12:40:00,Sleep,25.0,118,760
2015-05-14 14:55:00,2015-05-13,14:55:00,Sleep,48.0,118,895
2015-05-14 18:08:00,2015-05-13,18:08:00,Sleep,155.0,118,1088
2015-05-14 22:33:00,2015-05-13,22:33:00,Sleep,192.0,118,1353
2015-05-15 02:23:00,2015-05-14,02:23:00,Sleep,165.0,119,143
2015-05-15 05:38:00,2015-05-14,05:38:00,Sleep,158.0,119,338
2015-05-15 10:21:00,2015-05-14,10:21:00,Sleep,35.0,119,621
2015-05-15 13:11:00,2015-05-14,13:11:00,Sleep,26.0,119,791
2015-05-15 15:20:00,2015-05-14,15:20:00,Sleep,28.0,119,920
2015-05-15 19:23:00,2015-05-14,19:23:00,Sleep,213.0,119,1163
2015-05-15 23:26:00,2015-05-14,23:26:00,Sleep,251.0,119,1406
2015-05-16 04:13:00,2015-05-15,04:13:00,Sleep,207.0,120,253
2015-05-16 09:33:00,2015-05-15,09:33:00,Sleep,36.0,120,573
2015-05-16 13:28:00,2015-05-15,13:28:00,Sleep,32.0,120,808
2015-05-16 16:12:00,2015-05-15,16:12:00,Sleep,32.0,120,972
2015-05-16 18:42:00,2015-05-15,18:42:00,Sleep,359.0,120,1122
2015-05-17 01:46:00,2015-05-16,01:46:00,Sleep,165.0,121,106
2015-05-17 05:05:00,2015-05-16,05:05:00,Sleep,157.0,121,305
2015-05-17 10:01:00,2015-05-16,10:01:00,Sleep,28.0,121,601
2015-05-17 12:27:00,2015-05-16,12:27:00,Sleep,13.0,121,747
2015-05-17 12:51:00,2015-05-16,12:51:00,Sleep,33.0,121,771
2015-05-17 15:45:00,2015-05-16,15:45:00,Sleep,51.0,121,945
2015-05-17 18:57:00,2015-05-16,18:57:00,Sleep,196.0,121,1137
2015-05-17 22:48:00,2015-05-16,22:48:00,Sleep,219.0,121,1368
2015-05-18 03:05:00,2015-05-17,03:05:00,Sleep,204.0,122,185
2015-05-18 08:48:00,2015-05-17,08:48:00,Sleep,31.0,122,528
2015-05-18 10:16:00,2015-05-17,10:16:00,Sleep,29.0,122,616
2015-05-18 13:28:00,2015-05-17,13:28:00,Sleep,32.0,122,808
2015-05-18 17:03:00,2015-05-17,17:03:00,Sleep,23.0,122,1023
2015-05-18 19:15:00,2015-05-17,19:15:00,Sleep,175.0,122,1155
2015-05-18 22:30:00,2015-05-17,22:30:00,Sleep,228.0,122,1350
2015-05-19 02:46:00,2015-05-18,02:46:00,Sleep,162.0,123,166
2015-05-19 06:15:00,2015-05-18,06:15:00,Sleep,98.0,123,375
2015-05-19 09:46:00,2015-05-18,09:46:00,Sleep,61.0,123,586
2015-05-19 13:00:00,2015-05-18,13:00:00,Sleep,30.0,123,780
2015-05-19 15:35:00,2015-05-18,15:35:00,Sleep,39.0,123,935
2015-05-19 18:46:00,2015-05-18,18:46:00,Sleep,231.0,123,1126
2015-05-19 23:11:00,2015-05-18,23:11:00,Sleep,296.0,123,1391
2015-05-20 04:09:00,2015-05-19,04:09:00,Sleep,11.0,124,249
2015-05-20 04:36:00,2015-05-19,04:36:00,Sleep,78.0,124,276
2015-05-20 05:56:00,2015-05-19,05:56:00,Sleep,73.0,124,356
2015-05-20 09:20:00,2015-05-19,09:20:00,Sleep,12.0,124,560
2015-05-20 13:05:00,2015-05-19,13:05:00,Sleep,174.0,124,785
2015-05-20 19:29:00,2015-05-19,19:29:00,Sleep,179.0,124,1169
2015-05-20 23:30:00,2015-05-19,23:30:00,Sleep,227.0,124,1410
2015-05-21 03:34:00,2015-05-20,03:34:00,Sleep,111.0,125,214
2015-05-21 05:40:00,2015-05-20,05:40:00,Sleep,65.0,125,340
2015-05-21 10:50:00,2015-05-20,10:50:00,Sleep,26.0,125,650
2015-05-21 13:40:00,2015-05-20,13:40:00,Sleep,28.0,125,820
