,Date,Time,Finish,Duration
2018-10-16 05:50:00,2018-10-16,05:50:00,2018-10-16 06:42:00,52.0
2018-10-16 10:36:00,2018-10-16,10:36:00,2018-10-16 11:18:00,42.0
2018-10-16 14:20:00,2018-10-16,14:20:00,2018-10-16 15:29:00,69.0
2018-10-16 19:09:00,2018-10-16,19:09:00,2018-10-16 19:52:00,43.0
2018-10-16 19:54:00,2018-10-16,19:54:00,2018-10-17 00:31:00,277.0
2018-10-17 00:44:00,2018-10-17,00:44:00,2018-10-17 03:21:00,157.0
2018-10-17 04:20:00,2018-10-17,04:20:00,2018-10-17 06:10:00,110.0
2018-10-17 10:45:00,2018-10-17,10:45:00,2018-10-17 11:15:00,30.0
2018-10-17 17:14:00,2018-10-17,17:14:00,2018-10-17 18:36:00,82.0
2018-10-17 18:44:00,2018-10-17,18:44:00,2018-10-17 22:57:00,253.0
2018-10-17 23:10:00,2018-10-17,23:10:00,2018-10-18 01:37:00,147.0
2018-10-18 01:56:00,2018-10-18,01:56:00,2018-10-18 05:52:00,236.0
2018-10-18 10:35:00,2018-10-18,10:35:00,2018-10-18 13:35:00,180.0
2018-10-18 18:51:00,2018-10-18,18:51:00,2018-10-18 21:36:00,165.0
2018-10-18 21:52:00,2018-10-18,21:52:00,2018-10-18 23:41:00,109.0
2018-10-19 00:26:00,2018-10-19,00:26:00,2018-10-19 06:09:00,343.0
2018-10-19 10:00:00,2018-10-19,10:00:00,2018-10-19 12:30:00,150.0
2018-10-19 19:44:00,2018-10-19,19:44:00,2018-10-19 22:01:00,137.0
2018-10-19 22:12:00,2018-10-19,22:12:00,2018-10-20 01:02:00,170.0
2018-10-20 01:21:00,2018-10-20,01:21:00,2018-10-20 03:36:00,135.0
2018-10-20 04:20:00,2018-10-20,04:20:00,2018-10-20 06:20:00,120.0
2018-10-20 10:00:00,2018-10-20,10:00:00,2018-10-20 10:40:00,40.0
2018-10-20 18:14:00,2018-10-20,18:14:00,2018-10-20 22:59:00,285.0
2018-10-20 23:24:00,2018-10-20,23:24:00,2018-10-21 05:08:00,344.0
2018-10-21 09:10:00,2018-10-21,09:10:00,2018-10-21 09:43:00,33.0
2018-10-21 14:20:00,2018-10-21,14:20:00,2018-10-21 15:30:00,70.0
2018-10-21 19:20:00,2018-10-21,19:20:00,2018-10-21 23:54:00,274.0
2018-10-22 00:03:00,2018-10-22,00:03:00,2018-10-22 01:38:00,95.0
2018-10-22 01:51:00,2018-10-22,01:51:00,2018-10-22 03:08:00,77.0
2018-10-22 03:21:00,2018-10-22,03:21:00,2018-10-22 05:13:00,112.0
2018-10-22 09:42:00,2018-10-22,09:42:00,2018-10-22 12:15:00,153.0
2018-10-22 18:36:00,2018-10-22,18:36:00,2018-10-22 21:49:00,193.0
2018-10-22 22:03:00,2018-10-22,22:03:00,2018-10-22 23:20:00,77.0
2018-10-22 23:30:00,2018-10-22,23:30:00,2018-10-23 00:55:00,85.0
2018-10-23 01:31:00,2018-10-23,01:31:00,2018-10-23 04:49:00,198.0
2018-10-23 05:14:00,2018-10-23,05:14:00,2018-10-23 06:15:00,61.0
2018-10-23 10:59:00,2018-10-23,10:59:00,2018-10-23 12:44:00,105.0
2018-10-23 18:16:00,2018-10-23,18:16:00,2018-10-23 20:33:00,137.0
2018-10-23 20:46:00,2018-10-23,20:46:00,2018-10-23 23:42:00,176.0
2018-10-23 23:54:00,2018-10-23,23:54:00,2018-10-24 02:43:00,169.0
2018-10-24 03:18:00,2018-10-24,03:18:00,2018-10-24 06:11:00,173.0
2018-10-24 10:06:00,2018-10-24,10:06:00,2018-10-24 12:37:00,151.0
2018-10-24 17:28:00,2018-10-24,17:28:00,2018-10-24 19:28:00,120.0
2018-10-24 19:47:00,2018-10-24,19:47:00,2018-10-24 23:54:00,247.0
2018-10-25 00:11:00,2018-10-25,00:11:00,2018-10-25 03:40:00,209.0
2018-10-25 09:00:00,2018-10-25,09:00:00,2018-10-25 11:00:00,120.0
2018-10-25 17:25:00,2018-10-25,17:25:00,2018-10-25 17:58:00,33.0
2018-10-25 18:35:00,2018-10-25,18:35:00,2018-10-25 18:55:00,20.0
2018-10-25 19:55:00,2018-10-25,19:55:00,2018-10-25 23:34:00,219.0
2018-10-25 23:45:00,2018-10-25,23:45:00,2018-10-26 03:14:00,209.0
2018-10-26 03:15:00,2018-10-26,03:15:00,2018-10-26 04:40:00,85.0
2018-10-26 04:56:00,2018-10-26,04:56:00,2018-10-26 06:28:00,92.0
2018-10-26 11:30:00,2018-10-26,11:30:00,2018-10-26 13:30:00,120.0
2018-10-26 19:20:00,2018-10-26,19:20:00,2018-10-26 23:31:00,251.0
2018-10-26 23:47:00,2018-10-26,23:47:00,2018-10-27 01:05:00,78.0
2018-10-27 01:16:00,2018-10-27,01:16:00,2018-10-27 05:03:00,227.0
2018-10-27 10:15:00,2018-10-27,10:15:00,2018-10-27 11:40:00,85.0
2018-10-27 15:05:00,2018-10-27,15:05:00,2018-10-27 15:32:00,27.0
2018-10-27 19:15:00,2018-10-27,19:15:00,2018-10-28 03:17:00,482.0
2018-10-28 03:36:00,2018-10-28,03:36:00,2018-10-28 05:38:00,122.0
2018-10-28 16:56:00,2018-10-28,16:56:00,2018-10-28 17:20:00,24.0
2018-10-28 18:12:00,2018-10-28,18:12:00,2018-10-29 06:57:00,765.0
2018-10-29 12:04:00,2018-10-29,12:04:00,2018-10-29 13:44:00,100.0
2018-10-29 18:43:00,2018-10-29,18:43:00,2018-10-29 23:47:00,304.0
2018-10-30 00:08:00,2018-10-30,00:08:00,2018-10-30 03:56:00,228.0
2018-10-30 05:00:00,2018-10-30,05:00:00,2018-10-30 07:00:00,120.0
2018-10-30 08:45:00,2018-10-30,08:45:00,2018-10-30 09:14:00,29.0
2018-10-30 12:08:00,2018-10-30,12:08:00,2018-10-30 12:35:00,27.0
2018-10-30 17:44:00,2018-10-30,17:44:00,2018-10-31 02:51:00,547.0
2018-10-31 03:11:00,2018-10-31,03:11:00,2018-10-31 06:03:00,172.0
2018-10-31 10:45:00,2018-10-31,10:45:00,2018-10-31 11:47:00,62.0
2018-10-31 18:22:00,2018-10-31,18:22:00,2018-10-31 21:56:00,214.0
2018-10-31 22:21:00,2018-10-31,22:21:00,2018-11-01 01:51:00,210.0
2018-11-01 02:20:00,2018-11-01,02:20:00,2018-11-01 05:30:00,190.0
2018-11-01 09:20:00,2018-11-01,09:20:00,2018-11-01 10:09:00,49.0
2018-11-01 12:50:00,2018-11-01,12:50:00,2018-11-01 14:35:00,105.0
