,Date,Time,Finish,Duration
2016-01-14 17:51:00,2016-01-14,17:51:00,2016-01-14 18:52:00,61.0
2016-01-14 19:48:00,2016-01-14,19:48:00,2016-01-15 04:35:00,527.0
2016-01-15 05:00:00,2016-01-15,05:00:00,2016-01-15 07:09:00,129.0
2016-01-15 11:32:00,2016-01-15,11:32:00,2016-01-15 12:43:00,71.0
2016-01-15 19:26:00,2016-01-15,19:26:00,2016-01-16 01:44:00,378.0
2016-01-16 01:58:00,2016-01-16,01:58:00,2016-01-16 05:17:00,199.0
2016-01-16 10:01:00,2016-01-16,10:01:00,2016-01-16 10:40:00,39.0
2016-01-16 14:40:00,2016-01-16,14:40:00,2016-01-16 15:50:00,70.0
2016-01-16 18:52:00,2016-01-16,18:52:00,2016-01-17 00:15:00,323.0
2016-01-17 00:34:00,2016-01-17,00:34:00,2016-01-17 05:30:00,296.0
2016-01-17 09:06:00,2016-01-17,09:06:00,2016-01-17 09:35:00,29.0
2016-01-17 13:28:00,2016-01-17,13:28:00,2016-01-17 14:13:00,45.0
2016-01-17 17:33:00,2016-01-17,17:33:00,2016-01-18 00:57:00,444.0
2016-01-18 01:39:00,2016-01-18,01:39:00,2016-01-18 06:53:00,314.0
2016-01-18 10:34:00,2016-01-18,10:34:00,2016-01-18 11:49:00,75.0
2016-01-18 17:25:00,2016-01-18,17:25:00,2016-01-18 19:36:00,131.0
2016-01-18 20:03:00,2016-01-18,20:03:00,2016-01-18 20:35:00,32.0
2016-01-18 21:10:00,2016-01-18,21:10:00,2016-01-19 03:00:00,350.0
2016-01-19 03:15:00,2016-01-19,03:15:00,2016-01-19 05:29:00,134.0
2016-01-19 08:48:00,2016-01-19,08:48:00,2016-01-19 09:56:00,68.0
2016-01-19 14:20:00,2016-01-19,14:20:00,2016-01-19 14:50:00,30.0
2016-01-19 18:23:00,2016-01-19,18:23:00,2016-01-20 01:37:00,434.0
2016-01-20 01:52:00,2016-01-20,01:52:00,2016-01-20 03:57:00,125.0
2016-01-20 04:09:00,2016-01-20,04:09:00,2016-01-20 05:23:00,74.0
2016-01-20 10:24:00,2016-01-20,10:24:00,2016-01-20 10:56:00,32.0
2016-01-20 14:47:00,2016-01-20,14:47:00,2016-01-20 15:18:00,31.0
2016-01-20 17:40:00,2016-01-20,17:40:00,2016-01-21 05:10:00,690.0
2016-01-21 08:46:00,2016-01-21,08:46:00,2016-01-21 10:01:00,75.0
2016-01-21 13:45:00,2016-01-21,13:45:00,2016-01-21 14:15:00,30.0
2016-01-21 17:45:00,2016-01-21,17:45:00,2016-01-21 22:23:00,278.0
2016-01-21 22:55:00,2016-01-21,22:55:00,2016-01-22 05:06:00,371.0
2016-01-22 11:45:00,2016-01-22,11:45:00,2016-01-22 12:45:00,60.0
2016-01-22 20:11:00,2016-01-22,20:11:00,2016-01-23 03:02:00,411.0
2016-01-23 04:10:00,2016-01-23,04:10:00,2016-01-23 05:30:00,80.0
2016-01-23 10:15:00,2016-01-23,10:15:00,2016-01-23 10:50:00,35.0
2016-01-23 16:16:00,2016-01-23,16:16:00,2016-01-23 16:54:00,38.0
2016-01-23 19:55:00,2016-01-23,19:55:00,2016-01-23 21:30:00,95.0
2016-01-23 21:39:00,2016-01-23,21:39:00,2016-01-24 04:27:00,408.0
2016-01-24 07:30:00,2016-01-24,07:30:00,2016-01-24 08:21:00,51.0
2016-01-24 14:07:00,2016-01-24,14:07:00,2016-01-24 15:03:00,56.0
2016-01-24 18:00:00,2016-01-24,18:00:00,2016-01-24 18:40:00,40.0
2016-01-24 18:54:00,2016-01-24,18:54:00,2016-01-25 00:14:00,320.0
2016-01-25 00:51:00,2016-01-25,00:51:00,2016-01-25 05:23:00,272.0
2016-01-25 10:17:00,2016-01-25,10:17:00,2016-01-25 12:07:00,110.0
2016-01-25 17:35:00,2016-01-25,17:35:00,2016-01-25 18:10:00,35.0
2016-01-26 01:03:00,2016-01-26,01:03:00,2016-01-26 04:42:00,219.0
2016-01-26 10:20:00,2016-01-26,10:20:00,2016-01-26 11:45:00,85.0
2016-01-26 17:55:00,2016-01-26,17:55:00,2016-01-26 20:25:00,150.0
2016-01-26 20:39:00,2016-01-26,20:39:00,2016-01-27 00:39:00,240.0
2016-01-27 00:57:00,2016-01-27,00:57:00,2016-01-27 03:13:00,136.0
2016-01-27 03:37:00,2016-01-27,03:37:00,2016-01-27 05:40:00,123.0
2016-01-27 09:10:00,2016-01-27,09:10:00,2016-01-27 10:18:00,68.0
2016-01-27 14:40:00,2016-01-27,14:40:00,2016-01-27 15:04:00,24.0
2016-01-27 19:50:00,2016-01-27,19:50:00,2016-01-28 02:51:00,421.0
2016-01-28 03:32:00,2016-01-28,03:32:00,2016-01-28 05:42:00,130.0
2016-01-28 10:19:00,2016-01-28,10:19:00,2016-01-28 12:49:00,150.0
